texto,label
"¿Qué es una variable en Python?","variables_y_tipos"
"¿Para qué sirve una variable?","variables_y_tipos"
"¿Cuál es la diferencia entre un int y un float?","variables_y_tipos"
"¿Cómo convierto un número a cadena?","variables_y_tipos"
"¿Qué tipo de dato es True?","variables_y_tipos"
"No sé qué tipo de dato usar para contar","variables_y_tipos"
"¿Cómo puedo ver el tipo de una variable?","variables_y_tipos"
"¿Qué pasa si sumo un número con una cadena?","variables_y_tipos"
"¿Por qué Python dice TypeError al sumar texto y número?","variables_y_tipos"
"¿Qué es una constante en Python?","variables_y_tipos"
"¿Se puede cambiar el tipo de una variable en tiempo de ejecución?","variables_y_tipos"
"¿Cómo declaro múltiples variables en una sola línea?","variables_y_tipos"
"¿Python tiene tipos estáticos o dinámicos?","variables_y_tipos"
"¿Qué significa que Python sea fuertemente tipado?","variables_y_tipos"
"¿Cómo convierto un string a float?","variables_y_tipos"
"¿Por qué '5' + 5 da error en Python?","variables_y_tipos"
"¿Qué es el casteo implícito en Python?","variables_y_tipos"
"¿Cómo verifico si una variable es un número?","variables_y_tipos"
"¿Qué significa isinstance en Python?","variables_y_tipos"
"¿Qué tipo de dato devuelve input()?","variables_y_tipos"
"¿Puedo convertir un booleano a número?","variables_y_tipos"
"¿Cómo puedo formatear números como texto?","variables_y_tipos"
"¿Qué diferencia hay entre = y ==?","variables_y_tipos"
"¿Qué es una variable global?","variables_y_tipos"
"¿Qué significa reasignar una variable?","variables_y_tipos"
"¿Qué es una variable temporal?","variables_y_tipos"
"¿Qué es un literal en Python?","variables_y_tipos"
"¿Qué tipo de dato tiene None?","variables_y_tipos"
"¿Cómo convierto una cadena a entero sin error?","variables_y_tipos"
"¿Qué significa que los tipos sean inmutables?","variables_y_tipos"

"¿Cómo hago un bucle for en Python?","control_de_flujo"
"¿Cuándo usar while y cuándo usar for?","control_de_flujo"
"¿Cómo repito un mensaje diez veces?","control_de_flujo"
"¿Cómo evito un while infinito?","control_de_flujo"
"¿Qué hace break dentro de un bucle?","control_de_flujo"
"¿Para qué sirve continue en un for?","control_de_flujo"
"¿Cómo hago un if else simple?","control_de_flujo"
"No me funciona una condición con if y and","control_de_flujo"
"¿Cómo verifico si un número está entre dos valores?","control_de_flujo"
"¿Qué diferencia hay entre if, elif y else?","control_de_flujo"
"¿Cómo anido condiciones en Python?","control_de_flujo"
"¿Cómo recorrer un rango de números?","control_de_flujo"
"¿Cómo funciona range con dos parámetros?","control_de_flujo"
"¿Para qué sirve range con tres parámetros?","control_de_flujo"
"¿Qué es un bucle controlado por contador?","control_de_flujo"
"¿Qué es un bucle controlado por condición?","control_de_flujo"
"¿Cómo hacer un menú con while?","control_de_flujo"
"¿Cómo repetir una acción hasta recibir cierto input?","control_de_flujo"
"¿Qué significa un if dentro de un for?","control_de_flujo"
"¿Cómo validar un input con if?","control_de_flujo"
"¿Cómo romper varios bucles a la vez?","control_de_flujo"
"¿Cómo usar pass dentro de un if?","control_de_flujo"
"¿Cómo evitar múltiples elif repetitivos?","control_de_flujo"
"¿Cómo verificar múltiples condiciones alternativas?","control_de_flujo"
"¿Cómo hacer un while que incremente una variable?","control_de_flujo"
"¿Cómo detectar números pares en un for?","control_de_flujo"
"¿Qué hace not en una condición?","control_de_flujo"
"¿Cómo verificar si un string empieza con una letra?","control_de_flujo"
"¿Cómo evaluar condiciones complejas con paréntesis?","control_de_flujo"
"¿Cómo manejar valores inválidos dentro de un while?","control_de_flujo"

"¿Cómo defino una función en Python?","funciones"
"¿Para qué sirven los parámetros?","funciones"
"¿Cómo retorno dos valores desde una función?","funciones"
"¿Qué pasa si una función no tiene return?","funciones"
"¿Cómo llamo a una función que definí antes?","funciones"
"¿Qué es un parámetro por defecto?","funciones"
"¿Cómo documento funciones con docstring?","funciones"
"¿Qué diferencia hay entre argumento y parámetro?","funciones"
"¿Cómo paso una lista a una función?","funciones"
"¿Qué significa TypeError missing positional argument?","funciones"
"¿Qué es una función anónima lambda?","funciones"
"¿Cómo uso *args en una función?","funciones"
"¿Cómo uso **kwargs?","funciones"
"¿Para qué sirve return?","funciones"
"¿Qué pasa si llamo a una función antes de definirla?","funciones"
"¿Cómo valido parámetros dentro de la función?","funciones"
"¿Cómo devolver un diccionario desde una función?","funciones"
"¿Qué es una función pura?","funciones"
"¿Qué es un callback en Python?","funciones"
"¿Cómo medir el tiempo de ejecución de una función?","funciones"
"¿Qué significa que las funciones sean ciudadanos de primera clase?","funciones"
"¿Cómo reutilizar funciones en varios archivos?","funciones"
"¿Qué es una función recursiva?","funciones"
"¿Cómo evitar recursión infinita?","funciones"
